year	id	rev	num	contents
2024	248	1	2	一方、前回の検討では、旧第5、6章を落とすことを前提として、大幅修正を求めました。主査はこれら2章を残すという判断をしておられます。主査は章構成を変え、これら2章著者も指摘事項に対応するなどの労を惜しんでいないように思えます。しかし、第1回の判断を変えるという考えには至りませんでした。よって、これら2章を含む研究書としては却下と判断いたします。 
2024	265	2	3	前回必須事項とした指摘への対応は、いずれも確認し十分であると判断した。 そのうえで、１点だけ必須事項として対応を求めたい。 1. 第６章は前回から修正を経てわかりやすくなったが、やはり女性議員の多さの解明が目的のように読める。その一つの理由は、「学習のポイント」で読者が理解すべき対象をジェンダーに設定しているように読める点であろう。選挙制度を理解するための事例として、なぜジェンダー・クオータを取り上げるのか。選挙制度がなぜ大事なのかを問う形にする必要があるのではないだろうか。 2. 本文についても同様の印象を受けた。「下院の主要役員職を女性が独占するメキシコと男性が独占するブラジル」の後半部分を修正したことで、「ジェンダーと選挙制度を結びつける『補助線』」を引くという前回の指摘に対応した点は評価したい。しかし「それでは女性議員の比率の高い国ではどのような選挙制度が採用されているのか。本章では現代ラテンアメリカにおける選挙制度に注目することにより、この問いについて考えてみたい」(p.120)という部分が残ったことで、やはり考察の対象が女性議員比率にあるように見える。 3. 「選挙制度」をタイトルとする本章の問いは、「選挙制度は、女性議員比率の差にどう影響しているのか」ではないだろうか。「理想的な社会（ジェンダー格差が解消された社会）を作り出すため手段の一つとして、選挙制度が大きな役割を果たしている」「選挙制度の設計が、社会グループの代表制を大きく左右する」といったことを強調し、その端的な事例として女性議員比率を取り上げる、という書き方にしてはどうか。 
2024	271	2	2	初稿から改善が見られますが、第1回時の講評で挙げた問題が残存しています。編者の責任において、各執筆者と調整してさらなる改善を図ってください。 
2024	246	1	2	かなりの分量が加筆されたため、指摘票のページ番号が大きくずれたこと、またなぜだか第一章の続きでページ番号のシリーズが変わっており（50頁の次が34頁から再び始まる）、75頁が２つあるなどページナンバリングが整っていないことからそれに気づくまで混乱し、指摘票との照らし合わせが困難を極めました。提出前にナンバリングを確認し、また指摘票とページ番号がずれた場合は、すべての指摘箇所について新たなページ番号を付してください。今回は評者のほうで、変更履歴付きのワードファイルの「すべての変更履歴」を表示した状態での新たなページ番号を、対応を求める箇所についてのみ探し出して赤字で記入しました。以下、赤字が2回目の指摘です。 
2024	246	1	2	ぜひとも出版につなげたい研究成果であると考え、その一助になれればと2回目もしっかりと読ませて頂きました。しかし、古い歴史に関する記述を残すという研究会のご判断には、納得できていません。21世紀の日本とラテンアメリカ・カリブ地域（ＬＡＣ）の外交関係を、理論的枠組みを使い、外交文書などを丹念に拾って分析するというこの本のフォーカスが大きくぶれてしまいます。21世紀の日本のラ米外交を分析するにあたって、なぜ16世紀の両国間の歴史や19世紀の日系人移住の話について、大きなセクションをさいて説明する必要があるのか、という点について、納得できないでいます。日系人の存在が日系企業にとって重要であったと対応票では説明されていますが、そうであれば、さらっとおおよその時期と人数を１段落ぐらいで記述するので十分であろうと思います。実際この本を通して、日本のラ米外交や企業進出について日系人が重要だったという記述はほとんどなく、「貿易・投資」という全体での説明は多くなされますが、日系企業の進出に焦点をしぼった説明も（そこに日系人の存在が重要であったという説明も）ありません。学会報告時に、歴史について触れるべきだとの指摘が複数人からあったから残すという説明も、その指摘された方の見解に私自身は同意できません。もう一つあげられている、日本・ラ米地域の歴史についてはあまり知られていないから残すという理由も、説得的ではありません。この本のテーマと関係がないのであれば、それは別の書籍（論文）として発表するべきです。現状では、歴史記述がなぜこの本にとって必要かという説得的説明がなされていないため、評者としては歴史に関しての長いセクションが残る限り出版に了承を出すことは難しいと考えています。それ以外の以下の指摘は、研究会としてさほど対応が困難なものではないと思われます。それらの点が対応されたのちには出版可としたいと考えていますが、歴史部分が大きく残るようであれば、その点について成果検討分科会の判断を仰ぐことになるのではと思います。 
2024	246	1	2	もうひとつ重要な指摘は、soft balancing　という概念について、いまだ明確に説明されないまま本書の議論が進められていることです。Softがnon-militaryであることは今回加筆されましたが（それはもともと想像できた）、外交戦略をbalancingと名付けるとき、日本は何と何の間でbalancingしようとしてきたのかということが明示されていません。なぜ単にsoft diplomatic policyではなく、balancing がつくのか。加筆された定義が、Soft balancing includes… というような書き方にとどまり、soft balancing そのものについて明確に説明を避けているようでさえあります。その結果、本を読み進めていくと、「え？soft balancingってそういう意味ではなかったの？」と混乱します。 
2024	246	1	2	なお、別途添付するワードファイルにつけてあるマーカーは、青が今回の指摘に対応している箇所および今回指摘するタイポなどのテクニカルエラーです。黄色マーカーは評者が読み進める上で後で見返すためにつけた印であり、査読とは関係ありません。 
2024	246	k	2	研究会内で再度検討いたしまして、１章の歴史的背景は全面的に削除し、歴史に関する記述は序章と３章でコンパクト（１段落以内）にまとめて加筆することにとどめました。これに従い、章番号もずれていき、旧２章が新１章、旧３章が新２章になり、全体は５章まで、それに序章と終章が加わる計７章の構成に変更されております。 Soft Balancingについては、序章および新１章（旧２章）の最初の節で、より詳しい説明を加えました。
2024	273	3	2	評者は、修正原稿を拝読し、第2回検討を行った。第一の理由に対する第4章と第6章の修正と、第二の理由に対する修正、そして、その他の個別指摘事項に対する修正の多くは、おおむね「条件付了承」と判断することができる内容であった。しかし、第一の理由に対する第1章、第5章、第7章の修正は、原稿を若干改善させたものの、依然として更なる「大幅加筆修正・削除」の結果を見なければ、「条件付了承」と判断することができない内容であった。また、第1章は総論に当たるため、その評価は本成果全体の評価となる。そのため、評者は、非常に残念ではあるが、第2回検討時総合評価の選択肢(「了承」/「条件付了承」/「却下」)に基づいて、本成果を「却下」と判断した。その理由は以下のとおりである。 
2024	273	3	2	しかし、先行研究の問題を体系的に解決するために、どの組み合わせに注目することが必要なのか、また、各論（第4章～第8章）が注目する国（複数の場合もある）は、それぞれどの組み合わせに対応しているのか、という本書の分析枠組みに相当するものが、それを示すはずの第4節を見ても、また、「本書の全体の見取り図を示す」（p. 3）はずの第5節を見ても、十分に整理されていなかった。
2024	273	2	2	修正稿を作成いただきありがとうございました。最初に、いくつかの章において修正箇所が示されていないことを指摘します。いくつかの章では全面的な書き直しがされているため、評者が修正内容を把握することは困難であり、正確には把握できていない場合もあると思います。今後は明示されるようにお願いします。 
2024	273	2	2	初回の指摘１に対して、「ビジョン以前の開発と社会変化についての課題や問題点への対応が、ビジョンと実際の政策的な取り組みにどのように、どの程度反映されているという観点から、政策担当者の課題認識を読み解くような書きぶりを意識した修正を図りました。」との返答がありました。4－7章に対する指摘ですが、6章以外には実質的な修正はなかったと感じました（なお、5章については、政府の方針とビジョンの方向性に乖離が小さいのかもしれません）。
2024	273	2	2	研究企画委員会へのコメント: 1. 修正部分の明示がない著者の回答が見られます。査読者に送る前に。査読回答の要件について委員会で確認することをお願いします。 2. 初稿には著者名が明示されていました。シングルブラインドでしょうか。 3. 初回の査読結果が大幅修正でしたので、2回目の査読を2週間で実施することが困難です。期間を一律に決めるのではなく、査読の作業量に応じて柔軟に対応してもらいたいと思います。なお、これまで数回にわたり要望していますので、検討をお願いします。 
2023	201	2	2	ただ、4章だけ指摘対応が明記されていない事項（No. 54～59）があり、その中で1点未対応なものがあります。指摘分部の分量が多いので、そのままスルーというわけにもいきません。 
2023	170	1	2	(第1回修正での加筆修正部分に対するコメントあり。)
2023	162	1	2	前回の査読の際に、本稿の大きな問題点として、章ごとの完成度のばらつきが大きいこと、特に序章と終章は草稿状態であり、全面的な書き直しが必要であることを指摘しました。また、全体を通じて読みやすさへの配慮が欠けていることも指摘しました。第一稿は明らかに時間不足で提出されたものだったので、修正によって筆者が全体を丁寧に再検討し、修正することを期待して、個別の指摘は最小限にとどめ、強い表現での指摘も避けました。しかし、今回の修正稿を読み、第一稿に対して、もっと全面的な修正をお願いすべきであったと感じています。
2023	162	1	2	「研究会より（リプライ）」で筆者も認めていますが、序章のはじめの数頁を読むだけで、今回の修正が全く不十分であることがみてとれます。
2023	162	2	2	本成果は一般読者向けの成果が想定されていることを考えると、文章が到底出版できるレベルになっていない。査読者は校正者でも編集者でもないのでいちいち修正点を指摘しないが、よほど力を入れるなり他者の力を借りなければ、あと1回の修正で出版できるレベルには達しないと思われる。 
