State	Revenue_scaled	WageBill_scaled	MaterialCosts_scaled	Profits_scaled	WageBill_percent	MaterialCosts_percent	ValueAdded_perWorker	Employment_level	Employment_percent	N
NY	0.0145	0.0153	0.0084	-0.0081	0.0362	0.0319	0.0022	-3.827	-0.0414	160032
	0.0134	0.0021	0.0081	0.0023	0.0119	0.0158	0.0063	0.495	0.0121	
RI	0.0349	0.0165	0.0185	-0.0056	0.0365	0.0129	0.0268	-1.853	-0.0003	136878
	0.0182	0.0039	0.0105	0.004	0.0254	0.0247	0.008	0.996	0.0186	
CA	0.0897	0.0259	0.0439	0.0122	0.099	0.074	0.0881	-1.875	-0.0332	166668
	0.0126	0.002	0.0073	0.0024	0.0118	0.0128	0.0078	0.558	0.011	
CT	-0.0258	0.0036	-0.0214	-0.0052	0.0276	-0.0087	-0.0141	-0.163	-0.0147	138296
	0.0136	0.0024	0.0087	0.0024	0.0182	0.0174	0.0091	0.711	0.0165	
DE	0.0132	0.0069	0.0062	-0.0007	0.0235	0.0217	0.0071	-1.267	-0.0205	136423
	0.0119	0.0022	0.0069	0.0024	0.0084	0.0133	0.0068	0.744	0.0124	
MI	0.0152	0.0107	0.0116	-0.0034	0.0318	0.0285	0.0157	-1.904	-0.0182	135914
	0.0127	0.0025	0.0075	0.0027	0.0109	0.0142	0.0074	0.803	0.0138	
MN	0.0221	0.0158	0.0173	-0.0027	0.0409	0.0362	0.0195	-2.211	-0.0236	135988
	0.0131	0.0027	0.0081	0.0028	0.0115	0.0151	0.0079	0.821	0.0142	
NJ	0.0186	0.0132	0.0094	-0.0049	0.0345	0.0258	0.0118	-1.476	-0.0164	136101
	0.0124	0.0024	0.0073	0.0026	0.0103	0.0137	0.0072	0.768	0.0131	
AK	0.0413	0.0199	0.0247	0.0018	0.0524	0.0461	0.0302	-2.092	-0.0287	135744
	0.0168	0.0038	0.0102	0.0039	0.0179	0.0204	0.0096	0.933	0.0175	
AR	0.0124	0.0083	0.0065	-0.0019	0.0268	0.0213	0.0104	-1.538	-0.0171	135682
	0.0116	0.0023	0.0068	0.0025	0.0098	0.0129	0.0069	0.752	0.0126	
HI	0.0536	0.0238	0.0312	0.0041	0.0617	0.0554	0.0393	-2.403	-0.0314	135809
	0.0179	0.0039	0.0108	0.0041	0.0188	0.0215	0.0098	0.954	0.0182	
NE	-0.0065	0.0053	-0.0041	-0.0104	0.0615	0.0206	-0.03	-0.368	-0.0013	136500
	0.0128	0.0027	0.0068	0.0026	0.0163	0.0139	0.0085	0.552	0.0126	
SD	0.0151	0.0058	0.0074	-0.0024	0.019	0.0009	0.0372	-1.714	-0.0308	135768
	0.0179	0.0039	0.0089	0.0042	0.0255	0.018	0.0124	0.941	0.0193	
WV	-0.0608	-0.0104	-0.0327	-0.0138	-0.0371	-0.215	-0.0396	-3.33	-0.101	135472
	0.0125	0.0024	0.0066	0.0029	0.013	0.0099	0.0089	0.482	0.0106	
ME	0.0637	0.0026	0.0297	0.006	0.124	0.051	0.0681	0.242	-0.0004	135880
	0.0102	0.0023	0.0057	0.0026	0.0111	0.01	0.0089	0.389	0.0115	
